ERROR: BRAM accum_buff[13]: 0 != 2 at rho = -1080 (rho index = 99), theta = 173.
ERROR: BRAM accum_buff[14]: 1 != 3 at rho = -1080 (rho index = 99), theta = 174.
ERROR: BRAM accum_buff[15]: 1 != 3 at rho = -1080 (rho index = 99), theta = 175.
ERROR: BRAM accum_buff[0]: 1 != 3 at rho = -1080 (rho index = 99), theta = 176.
ERROR: BRAM accum_buff[1]: 0 != 2 at rho = -1080 (rho index = 99), theta = 177.
ERROR: BRAM accum_buff[2]: 1 != 3 at rho = -1080 (rho index = 99), theta = 178.
ERROR: BRAM accum_buff[3]: 0 != 2 at rho = -1080 (rho index = 99), theta = 179.
ERROR: BRAM accum_buff[5]: 0 != 1 at rho = -1079 (rho index = 100), theta = 165.
ERROR: BRAM accum_buff[6]: 0 != 1 at rho = -1079 (rho index = 100), theta = 166.
ERROR: BRAM accum_buff[10]: 0 != 1 at rho = -1079 (rho index = 100), theta = 170.
ERROR: BRAM accum_buff[11]: 0 != 1 at rho = -1079 (rho index = 100), theta = 171.
ERROR: BRAM accum_buff[12]: 1 != 3 at rho = -1079 (rho index = 100), theta = 172.
ERROR: BRAM accum_buff[13]: 1 != 3 at rho = -1079 (rho index = 100), theta = 173.
ERROR: BRAM accum_buff[14]: 0 != 2 at rho = -1079 (rho index = 100), theta = 174.
ERROR: BRAM accum_buff[15]: 1 != 3 at rho = -1079 (rho index = 100), theta = 175.
ERROR: BRAM accum_buff[0]: 0 != 2 at rho = -1079 (rho index = 100), theta = 176.
ERROR: BRAM accum_buff[1]: 1 != 3 at rho = -1079 (rho index = 100), theta = 177.
ERROR: BRAM accum_buff[2]: 0 != 2 at rho = -1079 (rho index = 100), theta = 178.
ERROR: BRAM accum_buff[3]: 1 != 3 at rho = -1079 (rho index = 100), theta = 179.
ERROR: BRAM accum_buff[5]: 1 != 2 at rho = -1078 (rho index = 101), theta = 165.
ERROR: BRAM accum_buff[9]: 0 != 1 at rho = -1078 (rho index = 101), theta = 169.
ERROR: BRAM accum_buff[10]: 0 != 1 at rho = -1078 (rho index = 101), theta = 170.
ERROR: BRAM accum_buff[11]: 0 != 1 at rho = -1078 (rho index = 101), theta = 171.
ERROR: BRAM accum_buff[12]: 1 != 3 at rho = -1078 (rho index = 101), theta = 172.
ERROR: BRAM accum_buff[13]: 0 != 2 at rho = -1078 (rho index = 101), theta = 173.
ERROR: BRAM accum_buff[14]: 1 != 3 at rho = -1078 (rho index = 101), theta = 174.
ERROR: BRAM accum_buff[15]: 0 != 2 at rho = -1078 (rho index = 101), theta = 175.
ERROR: BRAM accum_buff[0]: 1 != 3 at rho = -1078 (rho index = 101), theta = 176.
ERROR: BRAM accum_buff[1]: 0 != 2 at rho = -1078 (rho index = 101), theta = 177.
ERROR: BRAM accum_buff[2]: 1 != 3 at rho = -1078 (rho index = 101), theta = 178.
ERROR: BRAM accum_buff[3]: 2 != 4 at rho = -1078 (rho index = 101), theta = 179.
ERROR: BRAM accum_buff[10]: 0 != 1 at rho = -1077 (rho index = 102), theta = 170.
ERROR: BRAM accum_buff[11]: 0 != 1 at rho = -1077 (rho index = 102), theta = 171.
ERROR: BRAM accum_buff[12]: 0 != 2 at rho = -1077 (rho index = 102), theta = 172.
